"V2" "V1" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "Name" "POP"
"17" "001.inner-eurasia" "Rps" 0.00962128 0.00292421 -0.0233248 -0.00649486 -0.00615166 -0.00696533 -0.0150465 -0.00867205 0.0250565 -0.000415708 -0.00136227 -0.003702 -0.00104144 0.000235448 -0.00495318 0.0109722 0.0100214 -0.0066582 -0.00760164 -0.00433897 "Rps" "Russians"
"18" "001.inner-eurasia" "Rps" 0.00962128 0.00292421 -0.0233248 -0.00649486 -0.00615166 -0.00696533 -0.0150465 -0.00867205 0.0250565 -0.000415708 -0.00136227 -0.003702 -0.00104144 0.000235448 -0.00495318 0.0109722 0.0100214 -0.0066582 -0.00760164 -0.00433897 "MOE" "Mordvins"
"19" "001.inner-eurasia" "Rps" 0.00962128 0.00292421 -0.0233248 -0.00649486 -0.00615166 -0.00696533 -0.0150465 -0.00867205 0.0250565 -0.000415708 -0.00136227 -0.003702 -0.00104144 0.000235448 -0.00495318 0.0109722 0.0100214 -0.0066582 -0.00760164 -0.00433897 "EZI" "Kurds"
"20" "001.inner-eurasia" "Rps" 0.00962128 0.00292421 -0.0233248 -0.00649486 -0.00615166 -0.00696533 -0.0150465 -0.00867205 0.0250565 -0.000415708 -0.00136227 -0.003702 -0.00104144 0.000235448 -0.00495318 0.0109722 0.0100214 -0.0066582 -0.00760164 -0.00433897 "GEO" "Georgians"
"21" "001.inner-eurasia" "Rps" 0.00962128 0.00292421 -0.0233248 -0.00649486 -0.00615166 -0.00696533 -0.0150465 -0.00867205 0.0250565 -0.000415708 -0.00136227 -0.003702 -0.00104144 0.000235448 -0.00495318 0.0109722 0.0100214 -0.0066582 -0.00760164 -0.00433897 "KHS" "Siberia"
"22" "001.inner-eurasia" "KHS" -0.00750567 -0.0212966 -0.00231461 -0.0061898 0.00547044 0.0038758 0.00582653 0.0361125 -0.0135581 -0.0628114 -0.0300594 0.0558534 -0.0130899 -0.00336853 -0.0156803 0.00861868 0.0087372 -0.00131904 -0.0127611 -0.00800427 "Rps" "Russians"
"23" "001.inner-eurasia" "KHS" -0.00750567 -0.0212966 -0.00231461 -0.0061898 0.00547044 0.0038758 0.00582653 0.0361125 -0.0135581 -0.0628114 -0.0300594 0.0558534 -0.0130899 -0.00336853 -0.0156803 0.00861868 0.0087372 -0.00131904 -0.0127611 -0.00800427 "MOE" "Mordvins"
"24" "001.inner-eurasia" "KHS" -0.00750567 -0.0212966 -0.00231461 -0.0061898 0.00547044 0.0038758 0.00582653 0.0361125 -0.0135581 -0.0628114 -0.0300594 0.0558534 -0.0130899 -0.00336853 -0.0156803 0.00861868 0.0087372 -0.00131904 -0.0127611 -0.00800427 "EZI" "Kurds"
"25" "001.inner-eurasia" "KHS" -0.00750567 -0.0212966 -0.00231461 -0.0061898 0.00547044 0.0038758 0.00582653 0.0361125 -0.0135581 -0.0628114 -0.0300594 0.0558534 -0.0130899 -0.00336853 -0.0156803 0.00861868 0.0087372 -0.00131904 -0.0127611 -0.00800427 "GEO" "Georgians"
"26" "001.inner-eurasia" "KHS" -0.00750567 -0.0212966 -0.00231461 -0.0061898 0.00547044 0.0038758 0.00582653 0.0361125 -0.0135581 -0.0628114 -0.0300594 0.0558534 -0.0130899 -0.00336853 -0.0156803 0.00861868 0.0087372 -0.00131904 -0.0127611 -0.00800427 "KHS" "Siberia"
"27" "002.inner-eurasia" "Rakrlsh" 0.00616194 -0.00285771 -0.0218743 -0.0131385 -0.00517814 0.00416853 -0.0192393 -0.0116369 -0.0201071 0.00260366 0.00166435 0.00724925 -0.00600028 -0.00318452 0.00984153 -0.00417103 -0.00083131 -0.00235608 -0.00401506 0.00610122 "MOE" "Mordvins"
"28" "002.inner-eurasia" "Rakrlsh" 0.00616194 -0.00285771 -0.0218743 -0.0131385 -0.00517814 0.00416853 -0.0192393 -0.0116369 -0.0201071 0.00260366 0.00166435 0.00724925 -0.00600028 -0.00318452 0.00984153 -0.00417103 -0.00083131 -0.00235608 -0.00401506 0.00610122 "GEO" "Georgians"
"29" "002.inner-eurasia" "Rakrlsh" 0.00616194 -0.00285771 -0.0218743 -0.0131385 -0.00517814 0.00416853 -0.0192393 -0.0116369 -0.0201071 0.00260366 0.00166435 0.00724925 -0.00600028 -0.00318452 0.00984153 -0.00417103 -0.00083131 -0.00235608 -0.00401506 0.00610122 "Rps" "Russians"
"30" "002.inner-eurasia" "Rakrlsh" 0.00616194 -0.00285771 -0.0218743 -0.0131385 -0.00517814 0.00416853 -0.0192393 -0.0116369 -0.0201071 0.00260366 0.00166435 0.00724925 -0.00600028 -0.00318452 0.00984153 -0.00417103 -0.00083131 -0.00235608 -0.00401506 0.00610122 "Rakrlsh" "Russians"
"31" "002.inner-eurasia" "Rps" 0.00970885 0.00308042 -0.0205079 -0.00546191 -0.00260447 -0.00729501 -0.0156018 -0.00909437 0.0241835 -0.00595916 0.00503689 -0.00040651 -0.00205732 0.00327488 0.0101211 0.00772489 -0.00111743 -0.0061382 0.00250533 -0.00346588 "MOE" "Mordvins"
"32" "002.inner-eurasia" "Rps" 0.00970885 0.00308042 -0.0205079 -0.00546191 -0.00260447 -0.00729501 -0.0156018 -0.00909437 0.0241835 -0.00595916 0.00503689 -0.00040651 -0.00205732 0.00327488 0.0101211 0.00772489 -0.00111743 -0.0061382 0.00250533 -0.00346588 "GEO" "Georgians"
"33" "002.inner-eurasia" "Rps" 0.00970885 0.00308042 -0.0205079 -0.00546191 -0.00260447 -0.00729501 -0.0156018 -0.00909437 0.0241835 -0.00595916 0.00503689 -0.00040651 -0.00205732 0.00327488 0.0101211 0.00772489 -0.00111743 -0.0061382 0.00250533 -0.00346588 "Rps" "Russians"
"34" "002.inner-eurasia" "Rps" 0.00970885 0.00308042 -0.0205079 -0.00546191 -0.00260447 -0.00729501 -0.0156018 -0.00909437 0.0241835 -0.00595916 0.00503689 -0.00040651 -0.00205732 0.00327488 0.0101211 0.00772489 -0.00111743 -0.0061382 0.00250533 -0.00346588 "Rakrlsh" "Russians"
